consulta,tipo_api,tempo_ms,tamanho_bytes,timestamp
Consulta 5 - Aninhada,REST,1088.41,31290,2025-11-26T14:18:41.585658
Consulta 5 - Aninhada,GraphQL,591.99,2576,2025-11-26T14:18:43.179349
Consulta 5 - Aninhada,REST,1125.06,31290,2025-11-26T14:18:45.304571
Consulta 5 - Aninhada,GraphQL,542.75,2576,2025-11-26T14:18:46.849760
Consulta 5 - Aninhada,GraphQL,789.71,2576,2025-11-26T14:18:48.641118
Consulta 5 - Aninhada,REST,1086.2,31290,2025-11-26T14:18:50.728508
Consulta 5 - Aninhada,GraphQL,515.0,2576,2025-11-26T14:18:52.246382
Consulta 5 - Aninhada,REST,1127.41,31290,2025-11-26T14:18:54.375259
Consulta 5 - Aninhada,REST,1113.67,31290,2025-11-26T14:18:56.490308
Consulta 5 - Aninhada,REST,1164.06,31290,2025-11-26T14:18:58.655397
Consulta 5 - Aninhada,GraphQL,527.66,2576,2025-11-26T14:19:00.184283
Consulta 5 - Aninhada,REST,1114.96,31290,2025-11-26T14:19:02.300600
Consulta 5 - Aninhada,GraphQL,543.9,2576,2025-11-26T14:19:03.846279
Consulta 5 - Aninhada,GraphQL,916.29,2576,2025-11-26T14:19:05.764393
Consulta 5 - Aninhada,GraphQL,582.39,2576,2025-11-26T14:19:07.349038
Consulta 5 - Aninhada,GraphQL,581.24,2576,2025-11-26T14:19:08.932679
Consulta 5 - Aninhada,GraphQL,538.92,2576,2025-11-26T14:19:10.473616
Consulta 5 - Aninhada,REST,1131.62,31290,2025-11-26T14:19:12.606509
Consulta 5 - Aninhada,GraphQL,546.34,2576,2025-11-26T14:19:14.154171
Consulta 5 - Aninhada,REST,1186.57,31290,2025-11-26T14:19:16.341619
Consulta 5 - Aninhada,REST,1141.25,31290,2025-11-26T14:19:18.483424
Consulta 5 - Aninhada,GraphQL,562.47,2576,2025-11-26T14:19:20.047582
Consulta 5 - Aninhada,REST,1090.0,31290,2025-11-26T14:19:22.138487
Consulta 5 - Aninhada,GraphQL,589.53,2576,2025-11-26T14:19:23.730024
Consulta 5 - Aninhada,REST,1263.64,31290,2025-11-26T14:19:25.994453
Consulta 5 - Aninhada,REST,1156.15,31290,2025-11-26T14:19:28.151415
Consulta 5 - Aninhada,GraphQL,545.42,2576,2025-11-26T14:19:29.698511
Consulta 5 - Aninhada,REST,1075.52,31290,2025-11-26T14:19:31.775031
Consulta 5 - Aninhada,GraphQL,564.95,2576,2025-11-26T14:19:33.343328
Consulta 5 - Aninhada,REST,1364.6,31290,2025-11-26T14:19:35.708513
Consulta 5 - Aninhada,REST,1131.65,31290,2025-11-26T14:19:37.841105
Consulta 5 - Aninhada,REST,1189.61,31290,2025-11-26T14:19:40.031600
Consulta 5 - Aninhada,REST,1088.29,31290,2025-11-26T14:19:42.120280
Consulta 5 - Aninhada,REST,1121.0,31290,2025-11-26T14:19:44.241569
