consulta,tipo_api,tempo_ms,tamanho_bytes,timestamp,numero_consulta,complexidade,num_endpoints,data,hora,minuto,periodo_dia,ordem_execucao
Consulta 3 - Complexa,GraphQL,1119.01,1003,2025-11-26 14:15:39.041009,3,Alta,4,2025-11-26,14,15,Tarde,155
Consulta 3 - Complexa,REST,3184.71,139701,2025-11-26 14:15:43.227290,3,Alta,4,2025-11-26,14,15,Tarde,156
Consulta 3 - Complexa,GraphQL,998.68,1003,2025-11-26 14:15:45.227823,3,Alta,4,2025-11-26,14,15,Tarde,157
Consulta 3 - Complexa,REST,2897.81,139701,2025-11-26 14:15:49.127467,3,Alta,4,2025-11-26,14,15,Tarde,158
Consulta 3 - Complexa,GraphQL,1120.82,1003,2025-11-26 14:15:51.250778,3,Alta,4,2025-11-26,14,15,Tarde,159
Consulta 3 - Complexa,REST,3054.94,139701,2025-11-26 14:15:55.306808,3,Alta,4,2025-11-26,14,15,Tarde,160
Consulta 3 - Complexa,GraphQL,883.54,1003,2025-11-26 14:15:57.192352,3,Alta,4,2025-11-26,14,15,Tarde,161
Consulta 3 - Complexa,REST,3258.75,139701,2025-11-26 14:16:01.451581,3,Alta,4,2025-11-26,14,16,Tarde,162
Consulta 3 - Complexa,GraphQL,1049.11,1003,2025-11-26 14:16:03.502663,3,Alta,4,2025-11-26,14,16,Tarde,163
Consulta 3 - Complexa,REST,3128.34,138736,2025-11-26 14:16:07.632315,3,Alta,4,2025-11-26,14,16,Tarde,164
Consulta 3 - Complexa,GraphQL,931.0,1003,2025-11-26 14:16:09.565820,3,Alta,4,2025-11-26,14,16,Tarde,165
Consulta 3 - Complexa,GraphQL,1006.14,1003,2025-11-26 14:16:11.573643,3,Alta,4,2025-11-26,14,16,Tarde,166
Consulta 3 - Complexa,REST,2849.96,138736,2025-11-26 14:16:15.424445,3,Alta,4,2025-11-26,14,16,Tarde,167
Consulta 3 - Complexa,REST,3248.72,138736,2025-11-26 14:16:19.674161,3,Alta,4,2025-11-26,14,16,Tarde,168
Consulta 3 - Complexa,REST,2991.11,138736,2025-11-26 14:16:23.666269,3,Alta,4,2025-11-26,14,16,Tarde,169
Consulta 3 - Complexa,GraphQL,913.67,1003,2025-11-26 14:16:25.581965,3,Alta,4,2025-11-26,14,16,Tarde,170
Consulta 3 - Complexa,GraphQL,1120.65,1003,2025-11-26 14:16:27.705315,3,Alta,4,2025-11-26,14,16,Tarde,171
Consulta 3 - Complexa,REST,3091.38,138736,2025-11-26 14:16:31.797369,3,Alta,4,2025-11-26,14,16,Tarde,172
Consulta 3 - Complexa,GraphQL,1047.64,1003,2025-11-26 14:16:33.847483,3,Alta,4,2025-11-26,14,16,Tarde,173
Consulta 3 - Complexa,REST,3939.66,138736,2025-11-26 14:16:38.787941,3,Alta,4,2025-11-26,14,16,Tarde,174
Consulta 3 - Complexa,GraphQL,956.1,1003,2025-11-26 14:16:40.746103,3,Alta,4,2025-11-26,14,16,Tarde,175
Consulta 3 - Complexa,REST,2897.61,138736,2025-11-26 14:16:44.645556,3,Alta,4,2025-11-26,14,16,Tarde,176
Consulta 3 - Complexa,GraphQL,859.4,1003,2025-11-26 14:16:46.506950,3,Alta,4,2025-11-26,14,16,Tarde,177
Consulta 3 - Complexa,GraphQL,1194.26,1003,2025-11-26 14:16:48.702810,3,Alta,4,2025-11-26,14,16,Tarde,178
Consulta 3 - Complexa,GraphQL,1096.0,1003,2025-11-26 14:16:50.800598,3,Alta,4,2025-11-26,14,16,Tarde,179
Consulta 3 - Complexa,GraphQL,1157.4,1003,2025-11-26 14:16:52.960054,3,Alta,4,2025-11-26,14,16,Tarde,180
Consulta 4 - Lista,REST,768.0,53183,2025-11-26 14:16:54.729471,4,Média,1,2025-11-26,14,16,Tarde,181
Consulta 4 - Lista,GraphQL,623.0,971,2025-11-26 14:16:56.354747,4,Média,1,2025-11-26,14,16,Tarde,182
Consulta 4 - Lista,REST,843.46,53183,2025-11-26 14:16:58.199846,4,Média,1,2025-11-26,14,16,Tarde,183
Consulta 4 - Lista,REST,1968.29,53183,2025-11-26 14:17:01.169671,4,Média,1,2025-11-26,14,17,Tarde,184
Consulta 4 - Lista,REST,691.0,53183,2025-11-26 14:17:02.862714,4,Média,1,2025-11-26,14,17,Tarde,185
Consulta 4 - Lista,GraphQL,629.67,971,2025-11-26 14:17:04.493057,4,Média,1,2025-11-26,14,17,Tarde,186
Consulta 4 - Lista,REST,775.05,53183,2025-11-26 14:17:06.271119,4,Média,1,2025-11-26,14,17,Tarde,187
Consulta 4 - Lista,GraphQL,653.0,971,2025-11-26 14:17:07.926828,4,Média,1,2025-11-26,14,17,Tarde,188
